entry_date,action,price
2022-12-01 08:15:00,BUY,17020.0
2022-12-01 08:30:00,SELL SHORT,17025.5
2022-12-01 09:15:00,BUY,17039.0
2022-12-01 09:45:00,SELL SHORT,17040.0
2022-12-01 13:00:00,BUY,17081.0
2022-12-01 15:00:00,SELL SHORT,17072.5
2022-12-01 15:15:00,BUY,17005.5
2022-12-01 17:00:00,SELL SHORT,16927.0
2022-12-01 17:15:00,BUY,16889.5
2022-12-01 19:30:00,SELL SHORT,16876.0
2022-12-01 21:00:00,BUY,16865.5
2022-12-01 21:30:00,SELL SHORT,16860.5
2022-12-01 21:45:00,BUY,16859.0
2022-12-01 22:00:00,SELL SHORT,16860.5
2022-12-02 02:15:00,BUY,16850.5
2022-12-02 02:30:00,SELL SHORT,16860.5
2022-12-02 02:45:00,BUY,16857.5
2022-12-02 03:00:00,SELL SHORT,16860.5
2022-12-02 03:30:00,BUY,16850.5
2022-12-02 04:30:00,SELL SHORT,16850.5
2022-12-02 13:45:00,BUY,16832.5
2022-12-02 14:00:00,SELL SHORT,16847.5
2022-12-02 14:15:00,BUY,16832.5
2022-12-02 14:30:00,SELL SHORT,16845.5
2022-12-02 16:00:00,BUY,16885.0
2022-12-02 16:45:00,SELL SHORT,16864.5
2022-12-02 18:00:00,BUY,16893.5
2022-12-02 18:30:00,SELL SHORT,16894.0
2022-12-02 19:15:00,BUY,16883.0
2022-12-02 19:30:00,SELL SHORT,16897.0
2022-12-02 21:30:00,BUY,16966.0
2022-12-02 22:15:00,SELL SHORT,16976.5
2022-12-02 23:00:00,BUY,16586.5
2022-12-02 23:15:00,SELL SHORT,16982.5
2022-12-03 01:15:00,BUY,16975.5
2022-12-03 02:45:00,SELL SHORT,16971.0
2022-12-03 03:15:00,BUY,16971.5
2022-12-03 03:30:00,SELL SHORT,16973.5
2022-12-03 03:45:00,BUY,16966.5
2022-12-03 04:00:00,SELL SHORT,16967.0
2022-12-03 05:00:00,BUY,17004.0
2022-12-03 05:45:00,SELL SHORT,16975.5
2022-12-03 06:00:00,BUY,16972.5
2022-12-03 10:00:00,SELL SHORT,16925.5
2022-12-03 10:45:00,BUY,16925.5
