entry_date,action,price
2023-01-01 00:45:00,BUY,16508.0
2023-01-01 01:00:00,SELL SHORT,16522.5
2023-01-01 01:30:00,BUY,16523.0
2023-01-01 01:45:00,SELL SHORT,16529.5
2023-01-01 02:15:00,BUY,16538.5
2023-01-01 02:30:00,SELL SHORT,16542.5
2023-01-01 02:45:00,BUY,16533.5
2023-01-01 03:45:00,SELL SHORT,16518.5
2023-01-01 04:15:00,BUY,16517.5
2023-01-01 05:30:00,SELL SHORT,16503.0
2023-01-01 06:45:00,BUY,16532.5
2023-01-01 07:45:00,SELL SHORT,16512.0
2023-01-01 08:15:00,BUY,16509.0
2023-01-01 09:30:00,SELL SHORT,16503.0
2023-01-01 10:45:00,BUY,16527.5
2023-01-01 11:00:00,SELL SHORT,16533.5
2023-01-01 11:30:00,BUY,16534.0
2023-01-01 11:45:00,SELL SHORT,16534.5
2023-01-01 12:45:00,BUY,16548.5
2023-01-01 13:00:00,SELL SHORT,16550.0
2023-01-01 13:15:00,BUY,16544.5
2023-01-01 14:15:00,SELL SHORT,16535.0
2023-01-01 15:00:00,BUY,16533.0
2023-01-01 15:45:00,SELL SHORT,16530.0
2023-01-01 16:45:00,BUY,16553.5
2023-01-01 17:00:00,SELL SHORT,16556.0
2023-01-01 17:15:00,BUY,16555.5
2023-01-01 17:30:00,SELL SHORT,16575.5
2023-01-01 17:45:00,BUY,16569.5
2023-01-01 18:00:00,SELL SHORT,16570.0
2023-01-01 18:30:00,BUY,16583.5
2023-01-01 18:45:00,SELL SHORT,16587.0
2023-01-01 19:00:00,BUY,16581.0
2023-01-01 19:15:00,SELL SHORT,16595.0
2023-01-01 19:45:00,BUY,16608.5
2023-01-01 20:15:00,SELL SHORT,16598.0
2023-01-01 20:45:00,BUY,16601.0
2023-01-01 21:30:00,SELL SHORT,16589.0
2023-01-01 22:15:00,BUY,16591.5
2023-01-01 22:45:00,SELL SHORT,16587.5
2023-01-01 23:30:00,BUY,16601.5
2023-01-01 23:45:00,SELL SHORT,16606.0
2023-01-02 00:30:00,BUY,16585.5
2023-01-02 01:45:00,SELL SHORT,16562.0
2023-01-02 02:00:00,BUY,16561.5
2023-01-02 02:15:00,SELL SHORT,16567.0
2023-01-02 03:30:00,BUY,16575.0
2023-01-02 03:45:00,SELL SHORT,16598.5
2023-01-02 04:15:00,BUY,16637.0
2023-01-02 05:30:00,SELL SHORT,16618.0
2023-01-02 06:00:00,BUY,16636.5
2023-01-02 06:15:00,SELL SHORT,16641.0
2023-01-02 06:30:00,BUY,16640.5
2023-01-02 07:15:00,SELL SHORT,16679.5
2023-01-02 08:00:00,BUY,16715.0
2023-01-02 08:15:00,SELL SHORT,16741.0
2023-01-02 08:30:00,BUY,16728.0
2023-01-02 08:45:00,SELL SHORT,16734.5
2023-01-02 09:00:00,BUY,16724.5
2023-01-02 09:30:00,SELL SHORT,16718.0
2023-01-02 09:45:00,BUY,16715.5
2023-01-02 10:15:00,SELL SHORT,16730.5
2023-01-02 10:30:00,BUY,16725.0
2023-01-02 11:00:00,SELL SHORT,16723.0
2023-01-02 11:15:00,BUY,16719.0
2023-01-02 11:45:00,SELL SHORT,16721.5
2023-01-02 12:45:00,BUY,16718.5
2023-01-02 13:30:00,SELL SHORT,16706.0
2023-01-02 13:45:00,BUY,16681.5
2023-01-02 14:00:00,SELL SHORT,16691.5
2023-01-02 14:30:00,BUY,16684.5
2023-01-02 14:45:00,SELL SHORT,16690.5
2023-01-02 16:00:00,BUY,16724.0
2023-01-02 16:45:00,SELL SHORT,16727.0
2023-01-02 17:00:00,BUY,16698.5
2023-01-02 17:15:00,SELL SHORT,16701.0
2023-01-02 18:00:00,BUY,16702.5
2023-01-02 18:30:00,SELL SHORT,16698.0
2023-01-02 20:15:00,BUY,16708.5
2023-01-02 20:30:00,SELL SHORT,16714.0
2023-01-02 21:00:00,BUY,16716.5
2023-01-02 21:30:00,SELL SHORT,16713.5
2023-01-02 22:15:00,BUY,16739.5
2023-01-02 23:15:00,SELL SHORT,16700.5
2023-01-02 23:45:00,BUY,16690.0
2023-01-03 00:15:00,SELL SHORT,16674.5
2023-01-03 00:30:00,BUY,16669.5
2023-01-03 00:45:00,SELL SHORT,16689.5
2023-01-03 01:00:00,BUY,16683.5
2023-01-03 01:45:00,SELL SHORT,16653.5
2023-01-03 02:30:00,BUY,16668.5
2023-01-03 02:45:00,SELL SHORT,16671.0
2023-01-03 03:00:00,BUY,16665.0
2023-01-03 03:30:00,SELL SHORT,16676.5
2023-01-03 04:30:00,BUY,16679.5
2023-01-03 05:15:00,SELL SHORT,16682.0
2023-01-03 06:45:00,BUY,16725.0
2023-01-03 07:45:00,SELL SHORT,16708.0
2023-01-03 08:15:00,BUY,16710.5
2023-01-03 09:00:00,SELL SHORT,16707.0
2023-01-03 10:00:00,BUY,16729.5
2023-01-03 12:00:00,SELL SHORT,16709.5
2023-01-03 12:15:00,BUY,16706.0
2023-01-03 12:30:00,SELL SHORT,16711.0
2023-01-03 12:45:00,BUY,16709.0
2023-01-03 13:15:00,SELL SHORT,16714.5
2023-01-03 13:30:00,BUY,16709.5
2023-01-03 13:45:00,SELL SHORT,16715.0
2023-01-03 14:00:00,BUY,16714.0
2023-01-03 14:15:00,SELL SHORT,16732.0
2023-01-03 14:30:00,BUY,16729.0
2023-01-03 14:45:00,SELL SHORT,16741.5
2023-01-03 15:00:00,BUY,16646.0
2023-01-03 15:15:00,SELL SHORT,16649.5
2023-01-03 15:30:00,BUY,16634.5
2023-01-03 15:45:00,SELL SHORT,16642.0
2023-01-03 16:15:00,BUY,16639.5
2023-01-03 16:45:00,SELL SHORT,16647.0
2023-01-03 17:00:00,BUY,16612.0
2023-01-03 17:15:00,SELL SHORT,16628.0
2023-01-03 17:30:00,BUY,16615.0
2023-01-03 18:00:00,SELL SHORT,16619.5
2023-01-03 18:45:00,BUY,16635.5
2023-01-03 19:30:00,SELL SHORT,16620.5
