entry_date,action,price
2023-04-01 00:45:00,BUY,28449.0
2023-04-01 01:15:00,SELL SHORT,28441.0
2023-04-01 01:30:00,BUY,28440.0
2023-04-01 01:45:00,SELL SHORT,28473.5
2023-04-01 02:30:00,BUY,28598.5
2023-04-01 03:00:00,SELL SHORT,28589.0
2023-04-01 03:15:00,BUY,28576.5
2023-04-01 03:45:00,SELL SHORT,28538.5
2023-04-01 04:00:00,BUY,28535.5
2023-04-01 04:15:00,SELL SHORT,28566.0
2023-04-01 05:00:00,BUY,28579.5
2023-04-01 05:45:00,SELL SHORT,28556.5
2023-04-01 06:15:00,BUY,28533.5
2023-04-01 06:45:00,SELL SHORT,28481.0
2023-04-01 07:00:00,BUY,28480.0
2023-04-01 07:45:00,SELL SHORT,28413.5
2023-04-01 09:00:00,BUY,28449.5
2023-04-01 09:45:00,SELL SHORT,28458.5
2023-04-01 10:00:00,BUY,28433.0
2023-04-01 10:30:00,SELL SHORT,28431.0
2023-04-01 11:15:00,BUY,28456.0
2023-04-01 12:15:00,SELL SHORT,28392.0
2023-04-01 12:45:00,BUY,28411.5
2023-04-01 13:00:00,SELL SHORT,28435.0
2023-04-01 13:15:00,BUY,28427.0
2023-04-01 13:30:00,SELL SHORT,28434.5
2023-04-01 13:45:00,BUY,28420.0
2023-04-01 14:00:00,SELL SHORT,28426.0
2023-04-01 14:15:00,BUY,28410.5
2023-04-01 15:30:00,SELL SHORT,28360.5
2023-04-01 16:30:00,BUY,28430.5
2023-04-01 17:15:00,SELL SHORT,28381.0
2023-04-01 17:30:00,BUY,28362.0
2023-04-01 17:45:00,SELL SHORT,28378.5
2023-04-01 18:00:00,BUY,28377.0
2023-04-01 18:15:00,SELL SHORT,28384.0
2023-04-01 18:30:00,BUY,28350.5
2023-04-01 18:45:00,SELL SHORT,28357.0
2023-04-01 19:15:00,BUY,28374.5
2023-04-01 20:00:00,SELL SHORT,28384.0
2023-04-01 21:00:00,BUY,28452.0
2023-04-01 21:15:00,SELL SHORT,28481.5
2023-04-01 21:45:00,BUY,28480.0
2023-04-01 22:00:00,SELL SHORT,28482.5
2023-04-01 22:45:00,BUY,28513.0
2023-04-01 23:00:00,SELL SHORT,28522.0
2023-04-01 23:30:00,BUY,28503.5
2023-04-02 00:15:00,SELL SHORT,28472.5
2023-04-02 00:45:00,BUY,28420.0
2023-04-02 01:15:00,SELL SHORT,28380.0
2023-04-02 02:00:00,BUY,28398.0
2023-04-02 02:15:00,SELL SHORT,28417.5
2023-04-02 02:45:00,BUY,28411.5
2023-04-02 03:15:00,SELL SHORT,28411.5
2023-04-02 03:45:00,BUY,28490.5
2023-04-02 05:15:00,SELL SHORT,28402.0
2023-04-02 06:15:00,BUY,28460.0
2023-04-02 06:45:00,SELL SHORT,28458.0
2023-04-02 07:30:00,BUY,28466.5
2023-04-02 08:30:00,SELL SHORT,28417.5
2023-04-02 08:45:00,BUY,28394.5
2023-04-02 09:15:00,SELL SHORT,28391.0
2023-04-02 10:15:00,BUY,28391.0
2023-04-02 10:45:00,SELL SHORT,28407.0
2023-04-02 11:00:00,BUY,28371.5
2023-04-02 11:15:00,SELL SHORT,28374.0
2023-04-02 12:00:00,BUY,28357.5
2023-04-02 12:45:00,SELL SHORT,28309.0
2023-04-02 13:00:00,BUY,28259.0
2023-04-02 13:30:00,SELL SHORT,28258.5
2023-04-02 14:00:00,BUY,28279.0
2023-04-02 14:30:00,SELL SHORT,28309.5
