entry_date,action,price
2023-05-01 01:15:00,BUY,29260.0
2023-05-01 02:15:00,SELL SHORT,28641.0
2023-05-01 02:30:00,BUY,28593.0
2023-05-01 03:30:00,SELL SHORT,28582.5
2023-05-01 04:00:00,BUY,28559.0
2023-05-01 04:15:00,SELL SHORT,28565.5
2023-05-01 04:30:00,BUY,28539.5
2023-05-01 05:00:00,SELL SHORT,28553.0
2023-05-01 05:30:00,BUY,28554.5
2023-05-01 06:00:00,SELL SHORT,28480.5
2023-05-01 07:45:00,BUY,28631.0
2023-05-01 08:30:00,SELL SHORT,28595.0
2023-05-01 09:00:00,BUY,28578.5
2023-05-01 09:15:00,SELL SHORT,28581.0
2023-05-01 09:45:00,BUY,28552.0
2023-05-01 10:15:00,SELL SHORT,28548.0
2023-05-01 10:30:00,BUY,28545.0
2023-05-01 11:00:00,SELL SHORT,28549.5
2023-05-01 11:15:00,BUY,28532.5
2023-05-01 11:30:00,SELL SHORT,28539.0
2023-05-01 12:00:00,BUY,28518.5
2023-05-01 12:15:00,SELL SHORT,28527.0
2023-05-01 13:00:00,BUY,28585.5
2023-05-01 13:30:00,SELL SHORT,28601.5
2023-05-01 13:45:00,BUY,28521.0
2023-05-01 14:15:00,SELL SHORT,28491.5
2023-05-01 14:30:00,BUY,28484.5
2023-05-01 15:00:00,SELL SHORT,28468.0
2023-05-01 15:15:00,BUY,28385.0
2023-05-01 16:00:00,SELL SHORT,28169.5
2023-05-01 16:15:00,BUY,28144.5
2023-05-01 16:45:00,SELL SHORT,28220.0
2023-05-01 17:15:00,BUY,28342.5
2023-05-01 17:45:00,SELL SHORT,28275.5
2023-05-01 18:15:00,BUY,28247.5
2023-05-01 19:00:00,SELL SHORT,28180.0
2023-05-01 19:15:00,BUY,28032.0
2023-05-01 20:15:00,SELL SHORT,27916.0
2023-05-01 20:30:00,BUY,27840.5
2023-05-01 20:45:00,SELL SHORT,27905.5
2023-05-01 21:00:00,BUY,27691.5
2023-05-01 21:15:00,SELL SHORT,27800.5
2023-05-01 22:00:00,BUY,27982.0
2023-05-01 22:45:00,SELL SHORT,28064.0
2023-05-01 23:00:00,BUY,28015.5
2023-05-01 23:15:00,SELL SHORT,28122.5
